Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Malaysia,MYS,19510,20800,21700,22190,23220,23510,24180,25200,26620,28090,26700,28150
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,China,CHN,9220,10200,11140,11780,12500,12840,13420,14220,15430,16610,17050,19160
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Indonesia,IDN,8210,8770,9370,9710,9890,9880,10150,10600,11320,11980,11820,12680
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,India,IND,4170,4430,4770,4950,5130,5350,5660,6050,6520,6820,6360,7130
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Australia,AUS,37840,40330,41540,44770,45660,45310,46140,47090,48620,50170,51870,55330
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 03/01/2023,,,,,,,,,,,,,,,
