Category: All categories

Week,Dengue fever: (Singapore)
2018-05-13,14
2018-05-20,22
2018-05-27,13
2018-06-03,13
2018-06-10,14
2018-06-17,12
2018-06-24,10
2018-07-01,12
2018-07-08,10
2018-07-15,8
2018-07-22,12
2018-07-29,10
2018-08-05,11
2018-08-12,10
2018-08-19,11
2018-08-26,7
2018-09-02,10
2018-09-09,8
2018-09-16,12
2018-09-23,12
2018-09-30,9
2018-10-07,8
2018-10-14,9
2018-10-21,9
2018-10-28,10
2018-11-04,10
2018-11-11,10
2018-11-18,11
2018-11-25,20
2018-12-02,19
2018-12-09,12
2018-12-16,16
2018-12-23,14
2018-12-30,14
2019-01-06,21
2019-01-13,21
2019-01-20,23
2019-01-27,16
2019-02-03,21
2019-02-10,27
2019-02-17,20
2019-02-24,17
2019-03-03,19
2019-03-10,13
2019-03-17,17
2019-03-24,12
2019-03-31,12
2019-04-07,19
2019-04-14,17
2019-04-21,17
2019-04-28,17
2019-05-05,22
2019-05-12,19
2019-05-19,20
2019-05-26,36
2019-06-02,25
2019-06-09,26
2019-06-16,43
2019-06-23,43
2019-06-30,40
2019-07-07,42
2019-07-14,48
2019-07-21,42
2019-07-28,55
2019-08-04,55
2019-08-11,48
2019-08-18,42
2019-08-25,31
2019-09-01,33
2019-09-08,30
2019-09-15,33
2019-09-22,23
2019-09-29,21
2019-10-06,21
2019-10-13,24
2019-10-20,22
2019-10-27,20
2019-11-03,27
2019-11-10,32
2019-11-17,30
2019-11-24,30
2019-12-01,22
2019-12-08,21
2019-12-15,19
2019-12-22,26
2019-12-29,23
2020-01-05,27
2020-01-12,35
2020-01-19,26
2020-01-26,24
2020-02-02,22
2020-02-09,45
2020-02-16,48
2020-02-23,32
2020-03-01,32
2020-03-08,29
2020-03-15,26
2020-03-22,36
2020-03-29,20
2020-04-05,20
2020-04-12,19
2020-04-19,29
2020-04-26,22
2020-05-03,22
2020-05-10,32
2020-05-17,29
2020-05-24,33
2020-05-31,49
2020-06-07,64
2020-06-14,75
2020-06-21,82
2020-06-28,72
2020-07-05,67
2020-07-12,77
2020-07-19,100
2020-07-26,76
2020-08-02,80
2020-08-09,66
2020-08-16,58
2020-08-23,55
2020-08-30,46
2020-09-06,39
2020-09-13,34
2020-09-20,33
2020-09-27,30
2020-10-04,25
2020-10-11,28
2020-10-18,25
2020-10-25,19
2020-11-01,17
2020-11-08,19
2020-11-15,21
2020-11-22,17
2020-11-29,16
2020-12-06,13
2020-12-13,12
2020-12-20,10
2020-12-27,8
2021-01-03,13
2021-01-10,10
2021-01-17,9
2021-01-24,10
2021-01-31,6
2021-02-07,10
2021-02-14,16
2021-02-21,9
2021-02-28,12
2021-03-07,10
2021-03-14,9
2021-03-21,11
2021-03-28,10
2021-04-04,7
2021-04-11,9
2021-04-18,12
2021-04-25,13
2021-05-02,8
2021-05-09,9
2021-05-16,7
2021-05-23,11
2021-05-30,12
2021-06-06,9
2021-06-13,10
2021-06-20,10
2021-06-27,11
2021-07-04,9
2021-07-11,12
2021-07-18,14
2021-07-25,6
2021-08-01,11
2021-08-08,9
2021-08-15,6
2021-08-22,6
2021-08-29,8
2021-09-05,10
2021-09-12,14
2021-09-19,10
2021-09-26,8
2021-10-03,11
2021-10-10,10
2021-10-17,10
2021-10-24,8
2021-10-31,10
2021-11-07,10
2021-11-14,7
2021-11-21,7
2021-11-28,7
2021-12-05,6
2021-12-12,6
2021-12-19,6
2021-12-26,0
2022-01-02,7
2022-01-09,6
2022-01-16,7
2022-01-23,11
2022-01-30,8
2022-02-06,10
2022-02-13,8
2022-02-20,9
2022-02-27,12
2022-03-06,13
2022-03-13,16
2022-03-20,17
2022-03-27,20
2022-04-03,22
2022-04-10,28
2022-04-17,37
2022-04-24,49
2022-05-01,40
2022-05-08,45
2022-05-15,67
2022-05-22,52
2022-05-29,55
2022-06-05,62
2022-06-12,58
2022-06-19,59
2022-06-26,57
2022-07-03,58
2022-07-10,48
2022-07-17,48
2022-07-24,45
2022-07-31,42
2022-08-07,33
2022-08-14,36
2022-08-21,32
2022-08-28,35
2022-09-04,27
2022-09-11,30
2022-09-18,28
2022-09-25,24
2022-10-02,20
2022-10-09,29
2022-10-16,24
2022-10-23,24
2022-10-30,19
2022-11-06,17
2022-11-13,18
2022-11-20,16
2022-11-27,15
2022-12-04,19
2022-12-11,19
2022-12-18,17
2022-12-25,18
2023-01-01,17
2023-01-08,17
2023-01-15,18
2023-01-22,9
2023-01-29,18
2023-02-05,17
2023-02-12,15
2023-02-19,16
2023-02-26,10
2023-03-05,12
2023-03-12,15
2023-03-19,15
2023-03-26,15
2023-04-02,13
2023-04-09,12
2023-04-16,15
2023-04-23,12
2023-04-30,13
