name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Singapore,2014-01-01,29.0,24.9,26.9,34.4,24.9,29.2,24.3,86.2,0.17,100,4.17,rain,0,0,,23.2,25.7,1010.9,88.1,8.4,134.7,11.7,4,,2014-01-01T07:06:35,2014-01-01T19:09:26,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WMKJ,WSSL"
Singapore,2014-01-02,31.2,25.0,27.8,37.1,25.0,30.7,24.5,83.0,0.0,0,0.0,,0,0,,24.1,31.4,1010.5,87.2,8.9,179.1,15.4,6,,2014-01-02T07:07:02,2014-01-02T19:09:55,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WMKJ,WSSL"
Singapore,2014-01-03,30.5,24.9,27.3,36.3,24.9,29.8,24.5,85.0,0.0,0,0.0,,0,0,,21.0,21.9,1010.5,87.5,8.7,211.0,18.2,7,,2014-01-03T07:07:30,2014-01-03T19:10:23,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WMKJ,WSSL"
Singapore,2014-01-04,31.0,24.9,27.3,36.1,24.9,29.6,23.9,82.2,0.0,0,0.0,,0,0,,15.0,354.2,1010.3,86.2,9.6,164.0,14.2,6,,2014-01-04T07:07:57,2014-01-04T19:10:51,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WMKJ,WSSL"
Singapore,2014-01-05,26.6,23.0,25.2,26.6,23.0,25.2,23.8,92.1,14.769,100,25.0,rain,0,0,,15.0,10.7,1009.9,90.9,9.0,89.3,7.9,3,,2014-01-05T07:08:23,2014-01-05T19:11:18,0.13,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WMKJ,WSSL"
Singapore,2014-01-06,27.0,23.9,25.5,31.2,23.9,26.3,24.7,95.3,27.167,100,29.17,rain,0,0,,17.9,27.3,1009.3,88.9,6.3,117.3,10.1,4,,2014-01-06T07:08:49,2014-01-06T19:11:46,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2014-01-07,30.9,24.9,27.1,36.8,24.9,29.3,24.0,84.3,0.0,0,0.0,,0,0,,18.6,10.3,1009.6,88.1,8.2,113.1,9.7,4,,2014-01-07T07:09:15,2014-01-07T19:12:12,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WMKJ,WSSL"
Singapore,2014-01-08,31.9,24.7,27.6,36.5,24.7,29.7,23.3,78.2,0.0,0,0.0,,0,0,,23.2,12.7,1009.8,84.4,10.0,114.4,10.0,4,,2014-01-08T07:09:40,2014-01-08T19:12:39,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WMKJ,WSSL"
Singapore,2014-01-09,29.2,24.8,26.3,34.2,24.8,27.3,24.0,87.5,1.736,100,4.17,rain,0,0,,16.0,354.9,1009.9,85.4,9.6,143.6,12.3,5,,2014-01-09T07:10:04,2014-01-09T19:13:04,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WMKJ,WSSL"
Singapore,2014-01-10,30.8,24.6,27.3,36.6,24.6,29.8,24.3,84.9,0.0,0,0.0,,0,0,,12.8,35.3,1009.8,85.4,9.9,148.0,12.7,6,,2014-01-10T07:10:28,2014-01-10T19:13:30,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
