Variable:,pr
,Australia,"Australian Capital Territory","Coral Sea Islands Territory","New South Wales","Northern Territory","Other Territories",Queensland,"South Australia",Tasmania,Victoria,"Western Australia"
1901,425.21,806.66,NaN,434.78,546.98,1064.60,593.61,189.85,1352.52,608.86,294.28
1902,318.94,639.29,NaN,315.76,395.58,912.50,304.46,168.52,1192.75,512.40,308.63
1903,523.53,866.50,NaN,567.12,600.52,1137.20,782.85,262.21,1547.29,744.25,347.16
1904,500.20,693.13,NaN,488.37,744.28,927.20,624.86,266.32,1157.75,646.36,350.40
1905,363.07,743.39,NaN,462.75,370.44,888.00,441.71,178.89,1437.34,679.84,290.39
1906,486.99,897.83,NaN,595.41,476.47,847.80,822.23,248.13,1255.12,769.89,277.77
1907,479.29,612.01,NaN,467.92,607.09,811.20,668.56,223.19,1348.02,577.40,354.27
1908,479.17,736.43,NaN,502.33,532.29,941.90,699.65,273.37,899.69,578.49,354.15
1909,465.75,811.65,NaN,528.85,452.31,940.80,662.19,231.92,1278.14,749.25,364.28
1910,541.50,783.55,NaN,538.79,692.90,1006.60,833.12,291.19,1398.81,726.22,321.86
1911,450.15,895.83,NaN,601.89,474.67,1190.80,729.54,201.74,1224.71,751.67,248.17
1912,395.22,749.05,NaN,455.66,480.63,1039.70,496.81,220.35,1300.71,618.80,286.64
1913,475.61,780.45,NaN,524.49,501.46,1288.80,779.94,223.55,1058.96,643.07,306.69
1914,439.15,735.36,NaN,489.62,530.03,1419.20,640.49,181.22,894.80,428.82,326.93
1915,393.11,731.91,NaN,384.44,460.97,898.70,376.32,173.02,1320.56,626.27,412.93
1916,543.22,1152.41,NaN,680.70,592.28,1378.80,783.79,282.33,1675.52,846.37,354.29
1917,574.37,1015.66,NaN,658.64,606.86,1133.90,818.11,304.84,1599.41,881.66,415.21
1918,458.85,743.70,NaN,416.75,513.81,969.20,658.91,181.67,1243.57,685.26,373.77
1919,390.57,676.33,NaN,373.10,578.50,1107.00,422.50,196.64,1021.04,602.27,315.43
1920,518.00,970.29,NaN,586.67,619.70,1041.80,766.26,308.44,1195.58,701.10,320.70
1921,556.14,948.40,NaN,704.87,694.71,1281.50,781.53,301.85,1161.51,731.39,349.48
1922,436.73,809.83,NaN,399.64,606.16,1030.40,558.11,208.50,1316.33,599.64,327.03
1923,418.30,807.31,NaN,414.59,564.47,912.50,413.44,211.54,1624.62,698.53,369.89
1924,443.77,906.16,NaN,584.66,451.59,957.90,757.99,208.29,1460.80,806.18,213.51
1925,433.47,834.45,NaN,507.51,496.12,1149.50,609.39,173.27,1063.52,561.20,331.22
1926,411.25,771.43,NaN,523.12,504.16,959.40,402.42,208.71,1301.49,625.92,368.89
1927,428.79,652.97,NaN,411.98,472.94,977.40,618.27,167.34,1073.92,505.20,359.88
1928,392.14,768.99,NaN,538.34,380.38,1150.50,558.55,154.08,1457.52,705.36,276.06
1929,402.57,794.67,NaN,453.69,451.50,1385.70,589.25,141.93,1457.23,597.82,290.46
1930,486.71,749.29,NaN,541.50,608.08,1022.70,695.88,226.41,1180.52,688.89,327.56
1931,445.98,922.76,NaN,637.11,468.36,1240.40,542.53,230.16,1520.52,744.34,338.11
1932,403.88,801.58,NaN,484.09,490.68,986.30,443.52,245.75,1344.33,735.09,313.78
1933,456.33,764.86,NaN,538.74,504.28,1075.20,707.30,191.04,1094.82,668.96,302.34
1934,463.99,1261.16,NaN,642.03,474.26,1832.80,609.65,181.63,1240.08,799.57,363.46
1935,362.72,818.52,NaN,392.97,460.45,990.90,402.67,215.99,1348.61,700.42,275.95
1936,434.54,957.07,NaN,559.24,506.40,1064.40,717.95,192.62,1186.94,703.35,213.86
1937,404.30,744.52,NaN,460.54,503.11,1108.70,511.51,220.86,1168.98,586.07,296.53
1938,385.99,743.16,NaN,414.86,463.39,1024.80,546.62,200.76,1351.53,447.60,267.86
1939,503.27,944.72,NaN,584.11,594.31,948.20,709.06,280.09,1502.40,851.40,319.55
1940,409.26,528.31,NaN,316.00,579.02,701.30,676.90,139.70,1006.19,469.19,250.82
1941,490.23,717.72,NaN,442.68,666.60,869.20,737.68,234.89,1113.52,677.38,309.56
