Variable:,tas
,Australia,"Australian Capital Territory","Coral Sea Islands Territory","New South Wales","Northern Territory","Other Territories",Queensland,"South Australia",Tasmania,Victoria,"Western Australia"
1901,21.53,11.29,NaN,17.55,24.85,17.15,23.14,18.93,9.89,14.11,21.92
1902,21.53,11.25,NaN,17.54,25.10,17.09,23.24,18.95,9.76,14.05,21.71
1903,21.18,10.80,NaN,17.03,24.63,16.71,22.85,18.36,9.76,13.68,21.59
1904,21.11,10.73,NaN,16.93,24.20,16.55,22.71,18.37,9.79,13.71,21.71
1905,21.19,10.44,NaN,16.69,24.85,16.35,22.74,18.27,9.64,13.40,21.75
1906,21.86,10.86,NaN,17.22,25.73,16.72,23.11,19.19,9.98,13.98,22.47
1907,21.20,10.85,NaN,17.04,24.51,16.69,22.44,18.55,9.87,13.78,21.91
1908,20.84,10.79,NaN,16.92,24.03,16.59,22.10,18.48,10.19,14.14,21.33
1909,20.98,10.27,NaN,16.37,24.72,16.23,22.36,18.21,9.62,13.15,21.58
1910,21.39,10.87,NaN,17.03,24.87,16.74,22.61,18.76,10.37,13.96,22.07
1911,21.19,10.60,NaN,16.75,24.57,16.51,22.28,18.69,10.04,13.66,21.99
1912,21.70,11.14,NaN,17.38,24.95,17.06,23.10,18.94,10.23,13.84,22.48
1913,21.10,10.99,NaN,17.11,24.27,17.06,22.17,18.58,9.96,13.72,21.89
1914,21.99,12.08,NaN,18.29,25.06,17.95,23.03,19.70,10.41,14.80,22.66
1915,21.97,11.36,NaN,17.61,25.60,17.33,23.70,19.13,10.02,13.79,22.39
1916,21.37,10.80,NaN,16.91,24.87,16.70,22.82,18.53,9.76,13.50,22.03
1917,20.66,10.40,NaN,16.45,24.07,16.30,21.82,18.24,9.88,13.49,21.28
1918,21.16,10.64,NaN,16.82,24.28,16.55,21.95,18.80,10.25,13.83,22.20
1919,21.65,11.71,NaN,17.99,24.53,17.63,22.86,19.26,10.36,14.39,22.33
1920,21.21,10.77,NaN,16.76,24.49,16.57,22.52,18.51,10.07,13.77,21.99
1921,21.52,11.21,NaN,17.37,24.40,17.20,22.64,19.15,10.69,14.41,22.38
1922,21.28,11.24,NaN,17.31,24.41,17.23,22.57,18.71,10.18,13.87,21.94
1923,21.40,11.16,NaN,17.39,24.48,17.15,22.67,18.90,9.84,13.77,22.13
1924,20.99,10.36,NaN,16.28,24.39,16.45,22.38,17.90,9.57,12.87,21.97
1925,20.94,10.55,NaN,16.57,24.18,16.54,22.17,18.44,9.69,13.45,21.70
1926,21.66,11.10,NaN,17.18,25.13,17.15,23.41,18.64,10.29,13.90,22.22
1927,21.31,10.58,NaN,16.65,24.83,16.56,22.58,18.57,9.77,13.59,22.12
