Variable:,pr
,China,"Anhui Sheng","Beijing Shi","Chongqing Shi","Fujian Sheng","Gansu Sheng","Guangdong Sheng","Guangxi Zhuangzu Zizhiqu","Guizhou Sheng","Hainan Sheng","Hebei Sheng","Heilongjiang Sheng","Henan Sheng","Hubei Sheng","Hunan Sheng","Jiangsu Sheng","Jiangxi Sheng","Jilin Sheng","Liaoning Sheng","Nei Mongol Zizhiqu","Ningxia Huizu Zizhiqu","Qinghai Sheng","Shaanxi Sheng","Shandong Sheng","Shanghai Shi","Shanxi Sheng","Sichuan Sheng","Tianjin Shi","Xinjiang Uygur Zizhiqu","Xizang Zizhiqu","Yunnan Sheng","Zhejiang Sheng"
1901,558.46,1185.82,523.99,1001.31,1446.35,303.71,1572.71,1324.42,1085.27,1719.72,533.44,444.25,807.31,1117.89,1334.77,898.76,1681.54,499.67,650.11,294.74,308.70,304.55,671.22,524.37,934.72,564.11,817.99,565.94,112.24,282.55,1060.68,1387.45
1902,543.43,1018.34,248.66,923.08,1382.64,303.61,1745.30,1291.05,1086.63,1697.49,352.12,515.65,666.77,732.77,1224.64,938.69,1415.70,570.47,674.74,295.83,308.70,304.55,658.05,624.03,999.97,543.76,804.69,288.74,121.98,288.07,1079.93,1309.85
1903,616.17,1336.33,384.53,1462.06,2086.53,304.48,2006.35,1366.26,1321.73,1632.19,446.73,470.21,807.06,1185.69,1414.17,1114.56,1814.24,556.02,710.72,294.89,308.70,304.55,681.65,732.50,1210.40,547.83,1001.55,459.14,119.48,281.01,1139.98,1679.75
1904,587.36,1059.42,534.16,1142.53,1478.47,303.77,1710.52,1602.90,1165.52,1971.25,557.20,588.20,770.47,1146.67,1425.56,861.64,1561.59,641.19,698.48,286.19,308.70,304.55,684.88,676.84,1005.15,565.17,845.82,611.74,110.76,280.34,1163.77,1343.65
1905,607.05,1412.16,450.96,1280.85,1878.35,303.95,1640.56,1477.50,1197.65,2075.37,492.59,518.91,796.25,1292.76,1462.34,1153.27,1907.27,602.10,642.09,287.43,308.70,304.55,696.05,621.14,1389.94,558.91,888.25,502.26,112.37,280.66,1134.34,1685.28
1906,592.81,1400.89,510.44,1221.35,1931.23,304.02,1834.88,1422.40,1136.19,1646.40,532.99,502.66,811.96,1192.41,1439.65,1283.65,1721.61,526.49,554.47,301.73,308.70,304.55,684.90,636.68,1450.67,572.32,870.39,549.19,114.36,281.04,885.66,1848.24
1907,612.01,1359.39,425.26,1307.60,1683.43,307.27,1904.77,1458.74,1224.08,1656.31,480.39,557.88,819.88,1255.96,1454.62,1114.34,1808.71,560.96,651.44,288.89,308.70,304.72,693.98,628.29,1309.79,552.52,964.77,508.08,121.25,280.16,1144.68,1695.85
1908,605.32,1284.10,556.06,1191.71,1647.20,300.20,1751.35,1537.80,1164.88,1908.79,564.02,515.00,848.62,1448.27,1524.50,946.57,1903.38,566.28,647.36,302.99,308.70,304.38,696.86,603.73,1098.47,574.27,789.31,594.10,120.35,282.31,1130.14,1650.35
1909,607.61,1369.03,438.21,1413.21,1612.45,305.85,1679.11,1458.69,1288.35,1624.84,485.96,456.24,859.58,1355.24,1422.51,1083.27,1780.09,578.04,714.57,284.94,308.70,304.67,695.49,659.51,1272.07,553.91,965.75,505.61,106.49,284.17,1217.11,1696.96
1910,588.98,1437.90,489.52,1126.97,1241.26,304.36,1288.75,1286.76,1127.03,1624.26,512.00,572.71,815.03,1320.41,1456.39,1151.01,1732.17,646.18,592.17,303.41,308.70,304.58,694.94,712.01,1239.96,560.25,837.94,550.64,111.49,289.11,1219.90,1655.10
1911,660.38,1540.47,629.31,1234.24,1802.96,304.47,1715.75,1582.82,1266.58,1531.75,648.57,560.35,817.58,1381.73,1785.53,1336.50,2025.11,742.52,972.81,314.46,308.70,304.58,686.85,900.99,1422.57,580.21,893.47,716.77,108.54,291.09,1377.61,1962.92
1912,589.88,1213.25,600.73,1118.09,1815.72,303.72,1700.16,1510.94,1133.33,1593.17,591.14,489.90,795.79,1255.96,1541.64,1041.46,1747.22,582.20,639.65,277.44,308.70,304.55,684.07,637.53,1232.71,571.35,823.46,646.00,102.42,286.31,1047.12,1734.03
1913,574.75,924.05,393.29,1185.10,1523.84,303.99,1881.19,1732.49,1232.46,1795.74,436.39,450.31,691.21,1003.22,1399.08,710.79,1620.17,538.14,440.56,266.43,308.70,304.55,673.09,560.99,1013.54,554.91,894.85,426.43,112.62,292.58,1208.56,1429.08
1914,606.94,1174.81,494.02,1039.63,1925.09,303.68,1963.91,1616.72,1132.01,1615.11,527.40,525.48,733.73,1103.52,1580.07,1026.52,1808.19,678.81,835.14,293.02,308.70,304.55,676.37,787.81,1173.65,531.09,814.31,590.31,107.50,284.22,1116.65,1700.66
1915,639.73,1490.67,518.51,1459.08,1680.56,304.41,1665.83,1536.24,1270.37,1776.19,547.64,680.11,835.82,1373.02,1468.63,1267.14,1735.17,753.49,763.42,322.37,308.70,304.55,705.99,663.86,1519.81,552.25,980.81,585.89,106.29,297.24,1202.93,1851.86
1916,580.00,1358.69,432.36,1563.18,1356.29,304.31,1501.68,1242.52,1240.80,1569.60,453.38,478.74,848.16,1338.91,1376.34,1206.38,1642.09,539.03,599.10,274.56,308.69,304.55,674.77,655.34,1259.29,435.57,982.02,482.40,99.35,282.87,1114.62,1517.90
1917,586.87,935.53,631.22,1332.93,1717.38,304.20,1686.00,1483.13,1273.13,1572.43,643.10,547.55,674.81,1084.94,1376.03,885.86,1554.48,578.45,646.66,293.34,308.71,304.55,718.89,627.09,1127.27,699.41,920.41,702.11,98.49,289.98,1082.30,1602.27
1918,635.31,1098.03,445.27,1252.60,1939.73,303.87,2145.61,1893.94,1394.85,1739.50,490.61,517.66,754.00,1327.92,1625.29,800.47,1882.42,669.29,774.10,282.60,308.70,304.55,675.74,567.25,1019.69,466.52,905.29,514.93,99.57,283.19,1446.52,1566.08
1919,575.11,1038.47,445.22,1255.28,1842.01,303.87,1839.99,1392.18,1167.75,1633.58,453.82,464.06,646.91,1285.02,1469.16,887.45,1783.04,512.80,550.08,267.12,308.70,304.55,691.29,399.13,1286.48,500.03,865.06,478.98,109.30,283.16,1094.88,1650.92
1920,608.08,1091.33,240.64,1274.41,1928.03,304.00,2125.90,1899.80,1434.30,1737.50,317.05,495.01,604.44,1110.98,1757.78,893.52,1858.74,485.81,575.23,270.93,308.69,304.55,652.69,481.93,1142.89,383.66,919.43,313.44,117.63,274.53,1171.67,1664.28
1921,593.39,1332.22,378.22,1453.23,1564.47,302.72,1678.24,1581.98,1307.62,1452.94,436.76,412.92,798.35,1189.07,1253.89,1160.58,1500.88,552.54,665.85,261.42,308.38,304.55,640.85,710.99,1235.67,396.52,976.85,467.65,122.09,292.03,1314.33,1563.29
1922,582.46,865.91,545.92,1281.09,1918.86,297.67,1808.71,1624.55,1307.68,1867.63,523.71,513.30,483.03,879.60,1207.30,864.94,1496.21,662.41,784.31,310.18,304.27,304.55,589.03,574.47,1084.54,444.85,924.53,579.30,100.70,283.88,1245.12,1560.29
1923,585.08,1113.29,458.67,1065.61,1386.17,304.59,1799.44,1906.25,1273.13,1940.06,487.36,527.30,670.34,1052.37,1360.53,949.90,1499.48,708.86,931.47,278.49,310.70,304.55,646.33,621.44,1046.99,439.01,827.81,545.45,105.94,284.60,1102.91,1410.43
