Variable:,pr
,Malaysia,Johor,Kedah,Kelantan,"Kuala Lumpur",Melaka,"Negeri Sembilan",Pahang,Perak,Perlis,"Pulau Pinang",Sabah,Sarawak,Selangor,Terengganu,Labuan
1901,2712.83,2154.10,2297.20,2598.64,2065.30,1803.32,1774.42,2174.44,2543.72,2146.14,2470.17,2448.21,3261.22,2034.69,2867.67,3225.90
1902,3185.38,2635.77,2933.37,3434.37,2932.20,2285.35,2420.99,3034.10,3424.32,2608.46,3237.27,2986.17,3363.60,2906.45,3863.15,3545.00
1903,2620.07,2489.32,2191.58,2617.11,2152.70,1952.95,1889.22,2312.02,2551.53,2011.58,2412.28,1890.22,3236.81,2128.39,2928.87,3042.90
1904,2761.83,2401.96,2320.81,2796.67,2180.50,1930.62,1894.31,2388.51,2736.55,2108.20,2592.77,2487.81,3170.92,2182.00,3074.42,3147.30
1905,2706.62,2572.82,2589.73,3118.15,2615.60,2164.26,2245.03,2770.99,3052.19,2343.59,2869.23,1609.73,3189.21,2605.06,3508.45,2861.10
1906,2826.22,2963.54,2468.96,3193.73,2748.00,2459.50,2431.75,2908.65,3001.65,2228.66,2766.38,1853.28,3245.38,2667.16,3619.96,2917.50
1907,2822.50,2297.43,2505.17,2917.71,2400.70,2032.84,2089.78,2507.53,2803.18,2214.04,2784.68,2277.80,3349.00,2362.29,3265.63,3136.00
1908,2963.08,2514.76,2875.82,3183.89,2591.50,2183.21,2232.65,2664.11,3166.22,2633.40,3158.83,2602.09,3285.95,2545.84,3399.47,3508.30
1909,2889.41,2681.80,2436.43,2839.89,2487.30,2231.02,2183.32,2625.07,2867.07,2165.90,2793.95,2353.69,3388.23,2450.62,3207.87,3173.50
1910,3248.73,2626.92,2726.43,3191.67,2520.10,2232.88,2193.41,2742.28,3146.77,2461.88,3048.87,3177.46,3667.26,2516.47,3508.87,3995.80
1911,2804.93,2555.76,2279.88,2885.53,2516.50,2118.98,2185.97,2686.79,2842.51,1964.94,2607.30,2335.56,3162.81,2502.82,3450.97,2871.10
1912,2717.88,2619.19,2576.51,3049.80,2342.30,2123.24,2054.18,2513.88,3013.75,2368.98,2979.27,1719.79,3303.23,2287.86,3253.34,2553.50
1913,3090.37,3280.14,2793.58,3463.64,2639.90,2517.58,2332.27,2914.73,3364.94,2526.85,3250.15,2384.51,3461.94,2607.07,3676.31,3235.20
1914,2643.17,2607.29,2830.95,3375.70,2632.30,2125.35,2244.86,2829.55,3428.90,2584.44,3272.36,1619.78,2873.00,2657.09,3563.86,2285.30
1915,2837.93,2668.80,3049.69,3208.91,2533.20,2296.06,2217.31,2616.63,3212.71,2861.78,3252.88,2102.94,3226.43,2533.73,3252.03,3152.20
1916,3029.48,2467.78,2670.74,2787.80,2339.70,2127.38,2044.50,2291.52,2804.72,2585.32,2867.04,2925.10,3605.88,2263.61,2839.29,3439.80
1917,3314.23,3039.29,2515.37,3213.71,2895.00,2575.26,2540.47,3001.71,3128.53,2242.10,2853.60,2668.17,3968.99,2820.14,3688.67,3536.20
1918,3211.64,2719.26,2499.81,3325.52,2513.40,2223.20,2186.31,2748.30,3147.57,2187.06,2780.24,3207.12,3541.77,2466.14,3625.61,3556.60
1919,2677.75,2596.35,2479.07,2932.75,2432.90,2155.94,2110.06,2555.23,2909.46,2248.86,2755.35,2098.53,2994.63,2404.06,3187.73,3040.70
1920,2710.79,2315.21,2394.96,2595.15,1953.80,1879.74,1726.87,2094.78,2617.51,2133.49,2647.78,2528.99,3211.68,1952.66,2687.65,3199.40
1921,3043.74,2799.15,2598.77,2743.14,2295.90,2213.35,2039.32,2454.85,2861.96,2438.67,2949.61,2972.93,3513.71,2255.53,2923.06,3449.00
1922,3084.35,2694.63,3008.11,3452.34,2561.80,2307.58,2251.47,2775.01,3200.31,2651.33,3207.27,3089.99,3169.92,2518.07,3819.24,3488.40
1923,2939.39,2435.60,2548.90,3006.79,2369.60,1970.40,2054.80,2452.02,2931.45,2150.97,2886.93,2912.50,3258.11,2297.05,3205.33,3325.70
1924,3314.67,2799.57,2845.87,3313.68,2571.70,2295.65,2235.56,2758.20,3332.29,2515.32,3233.86,2997.77,3854.76,2546.54,3530.98,3870.10
1925,3528.66,3321.76,2787.03,3431.55,3102.80,2708.13,2716.10,3301.09,3574.64,2349.52,3346.30,2949.04,4079.57,3007.06,3826.93,3659.70
