Variable:,tas
,Malaysia,Johor,Kedah,Kelantan,"Kuala Lumpur",Melaka,"Negeri Sembilan",Pahang,Perak,Perlis,"Pulau Pinang",Sabah,Sarawak,Selangor,Terengganu,Labuan
1901,25.75,26.66,26.92,25.66,26.14,26.99,26.71,26.17,25.71,27.70,27.19,25.35,25.51,26.60,25.93,27.71
1902,25.75,26.65,26.93,25.67,26.14,26.97,26.71,26.17,25.72,27.72,27.20,25.34,25.50,26.60,25.94,27.71
1903,25.70,26.64,26.84,25.61,26.14,26.97,26.71,26.17,25.68,27.61,27.13,25.16,25.50,26.60,25.91,27.64
1904,25.63,26.65,26.75,25.56,26.14,26.98,26.71,26.16,25.64,27.48,27.07,24.90,25.50,26.59,25.87,27.54
1905,25.72,26.67,27.19,25.86,26.14,27.00,26.72,26.20,25.86,28.00,27.38,25.05,25.51,26.60,26.06,27.60
1906,25.74,26.66,27.21,25.86,26.14,26.99,26.71,26.20,25.86,28.01,27.38,25.16,25.50,26.60,26.06,27.65
1907,25.66,26.63,26.82,25.61,26.14,26.96,26.71,26.16,25.68,27.56,27.12,25.02,25.50,26.60,25.90,27.59
1908,25.69,26.67,26.84,25.62,26.14,27.00,26.72,26.17,25.69,27.57,27.13,25.08,25.51,26.60,25.91,27.63
1909,25.69,26.66,26.85,25.64,26.14,26.99,26.71,26.17,25.70,27.57,27.13,25.11,25.50,26.60,25.92,27.64
1910,25.68,26.65,26.80,25.61,26.14,26.98,26.71,26.16,25.68,27.53,27.09,25.09,25.50,26.60,25.91,27.61
1911,25.97,27.33,27.32,26.25,26.89,27.70,27.44,26.89,26.31,27.93,27.65,25.03,25.59,27.33,26.59,27.59
1912,26.03,27.42,27.32,26.29,26.97,27.78,27.53,26.96,26.35,27.91,27.66,25.20,25.60,27.40,26.64,27.66
1913,25.96,27.34,27.17,26.13,26.87,27.68,27.43,26.86,26.23,27.79,27.54,25.10,25.59,27.30,26.51,27.62
1914,26.12,27.64,27.41,26.42,27.18,27.99,27.73,27.16,26.50,27.98,27.78,25.21,25.63,27.60,26.80,27.67
1915,26.08,27.52,27.26,26.25,27.04,27.86,27.60,27.01,26.35,27.86,27.63,25.37,25.60,27.47,26.64,27.72
1916,25.88,27.17,27.03,25.97,26.72,27.53,27.27,26.70,26.07,27.67,27.39,25.08,25.55,27.16,26.35,27.63
1917,25.74,26.86,26.82,25.69,26.32,27.18,26.89,26.33,25.77,27.51,27.16,25.07,25.53,26.77,26.01,27.61
