videoId,textDisplay,textOriginal,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,canRate,viewerRating,likeCount,publishedAt,updatedAt,parent_id,comment_id
hSlb1ezRqfA,<b>LIKE A GOD CHURCH FAM</b>,*LIKE A GOD CHURCH FAM*,staycold,https://yt3.ggpht.com/mIl8KTrcSMgU2TCs78rHkxd0OfZ0yAkQYAbXbuGrDmCokxAH97IyHEJtV9Z9jOOBV73Ri-ODhA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCt5Z2uzVYBqobvz4yAN4A9g,{'value': 'UCt5Z2uzVYBqobvz4yAN4A9g'},True,none,1,2021-12-23T04:19:54Z,2021-12-23T04:19:54Z,,UgyE8LdxDAkNTz2DEdd4AaABAg
hSlb1ezRqfA,Bro I just feel bad my friend told me to go to this song on a discord call and now I just cant forget that humanity has became worse,Bro I just feel bad my friend told me to go to this song on a discord call and now I just cant forget that humanity has became worse,Donny,https://yt3.ggpht.com/IqMMpobXZv95bILgmwk8jOi8Cghr56AGujoBu7L2Q22-SqGQ4sCsPGZZHGGotDQdR4XATKtY6g=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC7sC3piM9bJw_JAOqLeQBwQ,{'value': 'UC7sC3piM9bJw_JAOqLeQBwQ'},True,none,0,2021-12-23T03:44:12Z,2021-12-23T03:44:12Z,,UgzAuAsUO6hjU5vjjcR4AaABAg
hSlb1ezRqfA,oh god i remember grade 5,oh god i remember grade 5,professor hakase,https://yt3.ggpht.com/UnUb35Pe5-naI8-Y_atdczE1mWjA5rAEsxJVZSGcP5W8ZmLQAARMsLEjULb9bP84TRzvKpJK=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCI5IejnaIRYY3qSgA7Hc-7Q,{'value': 'UCI5IejnaIRYY3qSgA7Hc-7Q'},True,none,0,2021-12-23T03:29:35Z,2021-12-23T03:31:11Z,,Ugwi6Rb_xodekUb4pMd4AaABAg
hSlb1ezRqfA,I honestly forgot about this,I honestly forgot about this,aden huston,https://yt3.ggpht.com/ytc/AGIKgqO3iaXL-BI0eva3IeqeCdrOXb2v8ZYGjOEt=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCx4V8wLIrC3Z5-urCOiuiXg,{'value': 'UCx4V8wLIrC3Z5-urCOiuiXg'},True,none,0,2021-12-23T03:25:14Z,2021-12-23T03:25:14Z,,UgwEYb9oZ-iwVNaaqEd4AaABAg
hSlb1ezRqfA,Still better than anything released by Tyrone Woodley lol,Still better than anything released by Tyrone Woodley lol,Joe Travolta,https://yt3.ggpht.com/ytc/AGIKgqMn0r4t7JY2vce28tsALlzazukJT0ulSiFNqu_8-_8=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCkHEqLws78IpNLJ2I_-FeQA,{'value': 'UCkHEqLws78IpNLJ2I_-FeQA'},True,none,1,2021-12-23T01:49:13Z,2021-12-23T01:49:13Z,,UgxSIZ8kyvtf8ZDarw14AaABAg
hSlb1ezRqfA,The fact that this video had more dislikes than likes just makes it a lot better,The fact that this video had more dislikes than likes just makes it a lot better,Uzma Tabesh,https://yt3.ggpht.com/rplz0fRvElPM-7C4cvmUkHkvfhY2OHIbKit9dWr1DBJo0iY3YmJlFaqHL2Cxri7KG5l1cx4Z=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCHzOACxzX6HUji1IqE8kcIw,{'value': 'UCHzOACxzX6HUji1IqE8kcIw'},True,none,2,2021-12-23T01:47:01Z,2021-12-23T01:47:01Z,,UgxdwbIRWY_Q_rmA5AZ4AaABAg
hSlb1ezRqfA,here after this guy knocked out a former 5x ufc champion,here after this guy knocked out a former 5x ufc champion,johann 678,https://yt3.ggpht.com/ytc/AGIKgqPPm098kTBDlUfJ5F2KDUJ2pT5pOB1vimHxmxMoEgk6rra0vWJs0JLLqe1y8wZV=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCOknCMWFeWP6jdANvQRpiZA,{'value': 'UCOknCMWFeWP6jdANvQRpiZA'},True,none,3,2021-12-22T23:54:51Z,2021-12-22T23:54:51Z,,UgxXFoT25TRBd9AHOPh4AaABAg
hSlb1ezRqfA,How tf did this guy KO woodley😭😭😭,How tf did this guy KO woodley😭😭😭,Karnage29,https://yt3.ggpht.com/oFPKLaqzIcGyYuA7vN6sRAGlcOUSMImaGJfer1AdrOmMnozh6wcy6W2e5dWAIggil1XXOo3S=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC56YupiZcylZ-zkTyXChOdQ,{'value': 'UC56YupiZcylZ-zkTyXChOdQ'},True,none,2,2021-12-22T23:50:05Z,2021-12-22T23:50:05Z,,UgwESSGshiekWy-cxzV4AaABAg
hSlb1ezRqfA,Bro it is been like four years since I listen to this and I can still wrap the Martinez twins part and the whole song,Bro it is been like four years since I listen to this and I can still wrap the Martinez twins part and the whole song,✨SeReNiTy SpAmZ✨,https://yt3.ggpht.com/uhMl5hyUfWbasnpG2VXj7PEsXOSAqus-GHdKKEgGEqdnk0lB70lsrWMGwQgamX266pvzfk3krA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCjKqlYZFRPTUqjIxZrmvctg,{'value': 'UCjKqlYZFRPTUqjIxZrmvctg'},True,none,0,2021-12-22T23:40:33Z,2021-12-22T23:40:33Z,,UgzkVsh-SykvARC4fzl4AaABAg
hSlb1ezRqfA,come back every year to dislike on a different account,come back every year to dislike on a different account,Silky,https://yt3.ggpht.com/ytc/AGIKgqO3-5dpYa9FDwk5TYBog-Evz8sRARzALz5N0Hb6tA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCqEncI4kxl9OnYJzhIf061g,{'value': 'UCqEncI4kxl9OnYJzhIf061g'},True,none,2,2021-12-22T21:58:51Z,2021-12-22T21:58:51Z,,UgzY8L5JZECV8SXEKOV4AaABAg
